Gene id	interest	molecular_functions	biological_processes	reference
Solyc06g062780	gene highly introgessed in SLC Ec	phospholipid-transporting ATPase 6	lipid metabolism	
Solyc06g063000	gene highly introgessed in SLC Ec	oligouridylate-binding protein 1B	oxigen stress	
Solyc06g062830	gene highly introgessed in SLC Ec	60S ribosomal protein L18a		
Solyc06g062880	gene highly introgessed in SLC Ec	Brevis radix	root development	
Solyc06g071500	gene highly introgessed in SLC Ec	boron transporter	root boron transport	
Solyc06g062450	gene highly introgessed in SLC Ec	leucine-rich repeat receptor-like		
Solyc04g162460	gene highly introgessed in SLC Ec			
Solyc08g065610	gene highly introgessed in SLC Ec	vacuolar processing enzyme VPE3 precursor		
Solyc06g062350	gene highly introgessed in SLC Ec	ruvB-like protein		
Solyc08g067450	gene highly introgessed in SLC Ec	cyclin-dependent kinase F-4-like		
Solyc04g053037	gene highly introgessed in SLC Ec			
Solyc06g062480	gene highly introgessed in SLC Ec	early flowering 3	flowering time	
Solyc06g063120	gene highly introgessed in SLC Ec	O-fucosyltransferase	response to light	
Solyc08g067440	gene highly introgessed in SLC Ec	N-alpha-acetyltransferase		
Solyc06g062530	gene highly introgessed in SLC Ec	serine/threonine protein phosphatase		
Solyc08g065627	gene highly introgessed in SLC Ec			
Solyc08g160200	gene highly introgessed in SLC Ec			
Solyc04g015820	gene highly introgessed in SLC Ec			
Solyc04g016000	gene highly introgessed in SLC Ec	heat stress transcription factor B-3	heat stress	
Solyc08g067470	gene highly introgessed in SLC Ec	6-hydroxynicotinate 3-monooxygenase		
Solyc08g067460	gene highly introgessed in SLC Ec	pre-mRNA-splicing factor syf2-like		
Solyc06g072860	gene highly introgessed in SLC Ec	UDP-glycosyltransferase		
Solyc01g100910	gene highly introgessed in SLC Ec	WAT1-related protein	xylem vessels and fibers development	
Solyc06g072850	gene highly introgessed in SLC Ec			
Solyc06g062950	gene highly introgessed in SLC Ec	subtilisin-like protease	stomatal development	
Solyc06g076650	gene highly introgessed in SLC Ec	cytosolic enolase 3		
Solyc06g062920	gene highly introgessed in SLC Ec	serine/threonine-protein kinase RIPK-like		
Solyc06g072870	gene highly introgessed in SLC Ec	UDP-glycosyltransferase		
Solyc06g062860	gene highly introgessed in SLC Ec	polyadenylate-binding protein-interacting protein		
Solyc06g076770	gene highly introgessed in SLC Ec	transcription factor DIVARICATA	osmotic stress	
Solyc06g063020	gene highly introgessed in SLC Ec	zinc finger CCCH domain-containing protein		
Solyc09g005760	gene highly introgessed in SLC Ec	U3 small nucleolar RNA-associated protein		
Solyc08g067480	gene highly introgessed in SLC Ec	V-type proton ATPase subunit c		
Solyc04g162450	gene highly introgessed in SLC Ec			
Solyc06g076490	gene highly introgessed in SLC Ec	autophagy-related protein		
Solyc06g072980	gene highly introgessed in SLC Ec			
Solyc06g072790	gene highly introgessed in SLC Ec			
Solyc06g076800	gene highly introgessed in SLC Ec	cytochrome P450 86A1		
Solyc01g102400	gene highly introgessed in SLC Ec	germin-like protein		
Solyc06g062600	gene highly introgessed in SLC Ec	Hothead	flower development	
Solyc04g025400	gene highly introgessed in SLC Ec	lipid phosphate phosphatase 4		
Solyc06g064673	gene highly introgessed in SLC Ec			
Solyc09g005770	gene highly introgessed in SLC Ec	F-box protein		
Solyc08g067540	gene highly introgessed in SLC Ec	non-specific lipid-transfer protein 1		
Solyc09g074110	gene highly introgessed in SLC Ec	piezo-type mechanosensitive ion channel		
Solyc06g064670	gene highly introgessed in SLC Ec	2-alkenal reductase (NADP(+)-dependent)		
Solyc06g063200	gene highly introgessed in SLC Ec	glutamate receptor 2.9		
Solyc04g015680	gene highly introgessed in SLC Ec	insulin degrading enzyme	defense against herbivorous insects	
Solyc06g076690	gene highly introgessed in SLC Ec	acyl-coenzyme A thioesterase 13		
Solyc04g016210	gene highly introgessed in SLC Ec	zeatin O-xylosyltransferase		
Solyc09g074300	gene highly introgessed in SLC Ec	Histone H2A		
Solyc06g076640	gene highly introgessed in SLC Ec	tubulin beta chain		
Solyc06g064720	gene highly introgessed in SLC Ec	Disease resistance protein RPP13	disease resistance	
Solyc06g072800	gene highly introgessed in SLC Ec	ADP-ribosylation factor 1		
Solyc04g015830	gene highly introgessed in SLC Ec	villin-2	pollen function	
Solyc06g062490	gene highly introgessed in SLC Ec	glycosyltransferase BC10		
Solyc04g051630	gene highly introgessed in SLC Ec			
Solyc06g062290	gene highly introgessed in SLC Ec	zeatin O-glucosyltransferase	photoperiod stress	
Solyc04g015990	gene highly introgessed in SLC Ec	cation/H(+) antiporter 28		
Solyc06g076780	gene highly introgessed in SLC Ec	beta-glucosidase BoGH3B		
Solyc06g062690	gene highly introgessed in SLC Ec	nucleosome assembly protein		
Solyc06g076600	gene highly introgessed in SLC Ec	serine/threonine-protein kinase BSK5		
Solyc01g104040	gene highly introgessed in SLC Ec	UDP-glucose:glycoprotein glucosyltransferase		
Solyc04g015760	gene highly introgessed in SLC Ec	protein N-terminal glutamine amidohydrolase		
Solyc09g074160	gene highly introgessed in SLC Ec	E3 ubiquitin-protein ligase		
Solyc06g064660	gene highly introgessed in SLC Ec	serine/threonine-protein kinase		
Solyc05g056620	circadian gene introgressed in SLC Ec	macrocalix/apetala		
Solyc02g067230	circadian gene introgressed in SLC Ec	cyclic dof factor 2	flowering time	
Solyc09g090100	circadian gene introgressed in SLC Ec	cryptochrome 2 	circadian	
Solyc07g043270	circadian gene introgressed in SLC Ec	Far-red elongated hypotoyl 3	light response; flowering time	
Solyc06g053320	circadian gene introgressed in SLC Ec	flowering time control protein FPA	flowering time	
Solyc01g102300	circadian gene introgressed in SLC Ec	phytochrome interacting factor 3		
Solyc06g084360	circadian gene introgressed in SLC Ec	E3 ubiquitin-protein ligase SP1		
Solyc12g070100	circadian gene introgressed in SLC Ec	mediator of RNA polymerase II transcription subunit 25		
